date,Balance_fiscal_gobierno_nacional,Inflacion_total,PIB_real_trimestral_2015_AE,Tasa_desempleo,Tasa_interes_colocacion_total,TRM
2005-01-01,4388.0,5.43,126681.06,13.26,12.87,2362.96
2005-02-01,4496.0,5.25,126681.06,14.1,13.16,2340.49
2005-03-01,4096.0,5.03,126681.06,12.95,13.0,2353.71
2005-04-01,5194.0,5.01,128475.37,12.02,12.74,2350.01
2005-05-01,3988.0,5.04,128475.37,12.49,12.46,2339.22
2005-06-01,4844.0,4.83,128475.37,11.54,12.39,2331.79
2005-07-01,5225.0,4.91,128744.63,12.05,12.86,2323.38
2005-08-01,4401.0,4.88,128744.63,11.72,12.8,2306.19
2005-09-01,5111.0,5.02,128744.63,11.33,12.87,2294.52
2005-10-01,4642.0,5.27,130951.95,9.9,11.81,2292.55
2005-11-01,5438.0,5.1,130951.95,10.28,12.04,2279.85
2005-12-01,7357.0,4.85,130951.95,10.27,11.92,2278.91
2006-01-01,4128.0,4.56,134141.09,13.37,11.51,2273.66
2006-02-01,5407.0,4.19,134141.09,13.08,11.85,2256.24
2006-03-01,5031.0,4.11,134141.09,11.37,11.96,2262.36
2006-04-01,5153.0,4.12,136018.56,12.06,11.03,2334.29
2006-05-01,4739.0,4.04,136018.56,11.87,11.02,2417.99
2006-06-01,5937.0,3.94,136018.56,10.48,10.95,2542.24
2006-07-01,6564.0,4.32,138621.26,12.3,10.96,2511.74
2006-08-01,4958.0,4.72,138621.26,13.04,11.6,2389.65
2006-09-01,5788.0,4.58,138621.26,12.91,11.79,2398.88
2006-10-01,5417.0,4.19,140654.09,11.36,11.45,2364.29
2006-11-01,6463.0,4.31,140654.09,11.0,11.93,2290.46
2006-12-01,7996.0,4.48,140654.09,11.84,12.1,2261.34
2007-01-01,4459.0,4.71,143181.29,14.28,12.03,2237.06
2007-02-01,6497.0,5.25,143181.29,12.86,12.55,2227.63
2007-03-01,5740.0,5.78,143181.29,12.03,13.05,2201.39
2007-04-01,5460.0,6.26,145170.87,10.81,13.38,2144.6
2007-05-01,5127.0,6.23,145170.87,11.7,13.86,2007.91
2007-06-01,6633.0,6.03,145170.87,11.2,14.29,1923.76
2007-07-01,7520.0,5.77,148142.37,11.35,14.97,1950.87
2007-08-01,5712.0,5.22,148142.37,10.86,15.46,2058.28
2007-09-01,6497.0,5.0,148142.37,10.87,15.75,2117.05
2007-10-01,5711.0,5.16,149962.47,10.21,15.61,2003.26
2007-11-01,8021.0,5.41,149962.47,9.49,15.49,2047.72
2007-12-01,9367.0,5.69,149962.47,9.92,15.42,2014.2
2008-01-01,4616.0,6.0,150565.22,13.3,15.27,1980.59
2008-02-01,8913.0,6.35,150565.22,12.19,15.4,1903.27
2008-03-01,6244.0,5.93,150565.22,11.34,15.78,1846.9
2008-04-01,5602.0,5.73,151303.7,11.08,16.7,1796.13
2008-05-01,6290.0,6.39,151303.7,10.81,16.41,1778.01
2008-06-01,7335.0,7.18,151303.7,11.41,16.26,1712.28
2008-07-01,7483.0,7.52,153275.8,12.21,16.26,1783.09
2008-08-01,6115.0,7.87,153275.8,11.43,16.59,1844.29
2008-09-01,6805.0,7.57,153275.8,11.05,16.55,2066.04
2008-10-01,7024.0,7.94,150568.28,10.18,16.45,2289.17
2008-11-01,7724.0,7.73,150568.28,10.91,17.27,2329.16
2008-12-01,9553.0,7.67,150568.28,10.77,17.37,2252.72
2009-01-01,5368.0,7.18,150948.41,14.47,16.86,2252.98
2009-02-01,9665.0,6.47,150948.41,12.77,16.34,2513.74
2009-03-01,6464.0,6.14,150948.41,12.19,15.38,2477.21
2009-04-01,7236.0,5.73,152619.59,12.12,14.11,2379.36
2009-05-01,7835.0,4.77,152619.59,11.76,12.66,2229.95
2009-06-01,8690.0,3.81,152619.59,11.6,11.78,2090.04
2009-07-01,8284.0,3.28,153929.38,12.84,11.35,2052.68
2009-08-01,8452.0,3.13,153929.38,11.94,10.82,2018.97
2009-09-01,7498.0,3.21,153929.38,12.44,10.86,1980.77
2009-10-01,7668.0,2.72,155118.62,11.76,10.47,1904.86
2009-11-01,9244.0,2.37,155118.62,11.39,9.75,1973.57
2009-12-01,9436.0,2.0,155118.62,11.31,9.43,2017.05
2010-01-01,6825.0,2.1,156710.82,14.88,9.32,1978.19
2010-02-01,7818.0,2.09,156710.82,12.69,9.34,1952.89
2010-03-01,6886.0,1.84,156710.82,11.96,9.24,1909.1
2010-04-01,7068.0,1.98,159366.09,12.44,9.29,1940.36
2010-05-01,8059.0,2.07,159366.09,12.26,8.83,1984.36
2010-06-01,9035.0,2.25,159366.09,11.98,8.78,1925.9
2010-07-01,7979.0,2.24,160351.58,12.86,8.84,1874.52
2010-08-01,6767.0,2.31,160351.58,11.38,8.7,1819.06
2010-09-01,6778.0,2.28,160351.58,10.87,8.61,1805.6
2010-10-01,7425.0,2.33,163722.51,10.45,8.55,1808.46
2010-11-01,8843.0,2.59,163722.51,10.93,8.3,1863.67
2010-12-01,10226.0,3.17,163722.51,11.23,8.23,1925.86
2011-01-01,5049.0,3.4,167189.4,13.9,9.49,1866.64
2011-02-01,7342.0,3.17,167189.4,13.14,9.79,1882.61
2011-03-01,7131.0,3.19,167189.4,10.95,10.26,1884.38
2011-04-01,7048.0,2.84,169848.91,11.27,10.31,1812.77
2011-05-01,9961.0,3.02,169848.91,11.55,10.66,1801.65
2011-06-01,9818.0,3.23,169848.91,11.04,10.97,1782.54
2011-07-01,9685.0,3.42,173174.61,11.7,10.94,1761.75
2011-08-01,8010.0,3.27,173174.61,10.42,11.46,1785.04
2011-09-01,8513.0,3.73,173174.61,9.93,11.54,1836.15
2011-10-01,9374.0,4.02,174415.07,9.36,11.7,1910.38
2011-11-01,10834.0,3.96,174415.07,9.49,11.55,1918.21
2011-12-01,13785.0,3.73,174415.07,10.07,11.69,1934.08
2012-01-01,7184.0,3.54,176300.25,12.79,12.4,1852.12
2012-02-01,8668.0,3.55,176300.25,12.07,12.56,1783.56
2012-03-01,8431.0,3.4,176300.25,10.5,12.8,1766.34
2012-04-01,8465.0,3.43,178306.98,11.09,12.49,1775.06
2012-05-01,8842.0,3.44,178306.98,10.99,12.63,1793.28
2012-06-01,11115.0,3.2,178306.98,10.24,12.25,1792.63
2012-07-01,11502.0,3.03,177313.36,11.16,12.16,1784.43
2012-08-01,9023.0,3.11,177313.36,9.99,12.64,1806.34
2012-09-01,8594.0,3.08,177313.36,10.14,12.06,1803.18
2012-10-01,11063.0,3.06,179494.4,9.17,12.13,1804.97
2012-11-01,10644.0,2.77,179494.4,9.46,11.76,1820.29
2012-12-01,15829.0,2.44,179494.4,9.94,11.44,1793.94
2013-01-01,7460.0,2.0,182542.2,12.34,11.81,1770.01
2013-02-01,10802.0,1.83,182542.2,12.01,11.52,1791.48
2013-03-01,9020.0,1.91,182542.2,10.38,11.11,1809.89
2013-04-01,10743.0,2.02,186706.35,10.45,10.69,1829.96
2013-05-01,10166.0,2.0,186706.35,9.82,10.33,1850.12
2013-06-01,12078.0,2.16,186706.35,9.51,10.12,1909.5
2013-07-01,11752.0,2.22,187959.88,10.16,10.93,1900.59
2013-08-01,10086.0,2.27,187959.88,9.66,10.55,1903.66
2013-09-01,10615.0,2.27,187959.88,9.17,10.94,1919.4
2013-10-01,14201.0,1.84,190730.57,8.13,10.77,1885.91
2013-11-01,11917.0,1.76,190730.57,8.63,10.74,1922.14
2013-12-01,16126.0,1.94,190730.57,8.65,9.81,1934.08
2014-01-01,9459.0,2.13,193493.5,11.53,10.84,1960.41
2014-02-01,12536.0,2.32,193493.5,11.09,10.46,2040.51
2014-03-01,10836.0,2.51,193493.5,9.84,10.35,2022.19
2014-04-01,11150.0,2.72,194189.95,9.31,10.31,1939.27
2014-05-01,11534.0,2.93,194189.95,9.07,10.44,1915.46
2014-06-01,14637.0,2.79,194189.95,9.4,10.24,1888.1
2014-07-01,12848.0,2.89,195930.27,9.69,11.17,1858.4
2014-08-01,11188.0,3.02,195930.27,9.16,11.01,1899.07
2014-09-01,11245.0,2.86,195930.27,8.61,11.1,1971.34
2014-10-01,12047.0,3.29,197975.27,8.1,10.96,2047.03
2014-11-01,12864.0,3.65,197975.27,8.06,10.8,2127.25
2014-12-01,14789.0,3.66,197975.27,9.04,10.4,2344.23
2015-01-01,9694.0,3.82,198990.54,11.15,11.48,2397.69
2015-02-01,12163.0,4.36,198990.54,10.23,11.01,2420.38
2015-03-01,12007.0,4.56,198990.54,9.12,11.23,2586.58
2015-04-01,11322.0,4.64,200874.17,9.74,10.87,2495.36
