date,Inflacion_total,IPP,PIB_real_trimestral_2015_AE,Tasa_interes_colocacion_total,TRM
2005-01-01,5.43,67.85,126681.06,12.87,2362.96
2005-02-01,5.25,68.7,126681.06,13.16,2340.49
2005-03-01,5.03,69.95,126681.06,13.0,2353.71
2005-04-01,5.01,69.75,128475.37,12.74,2350.01
2005-05-01,5.04,69.75,128475.37,12.46,2339.22
2005-06-01,4.83,70.1,128475.37,12.39,2331.79
2005-07-01,4.91,69.99,128744.63,12.86,2323.38
2005-08-01,4.88,70.18,128744.63,12.8,2306.19
2005-09-01,5.02,69.83,128744.63,12.87,2294.52
2005-10-01,5.27,70.16,130951.95,11.81,2292.55
2005-11-01,5.1,69.84,130951.95,12.04,2279.85
2005-12-01,4.85,69.74,130951.95,11.92,2278.91
2006-01-01,4.56,70.57,134141.09,11.51,2273.66
2006-02-01,4.19,70.61,134141.09,11.85,2256.24
2006-03-01,4.11,71.43,134141.09,11.96,2262.36
2006-04-01,4.12,73.16,136018.56,11.03,2334.29
2006-05-01,4.04,73.95,136018.56,11.02,2417.99
2006-06-01,3.94,74.53,136018.56,10.95,2542.24
2006-07-01,4.32,75.2,138621.26,10.96,2511.74
2006-08-01,4.72,74.96,138621.26,11.6,2389.65
2006-09-01,4.58,74.69,138621.26,11.79,2398.88
2006-10-01,4.19,74.4,140654.09,11.45,2364.29
2006-11-01,4.31,74.08,140654.09,11.93,2290.46
2006-12-01,4.48,74.37,140654.09,12.1,2261.34
2007-01-01,4.71,74.72,143181.29,12.03,2237.06
2007-02-01,5.25,74.79,143181.29,12.55,2227.63
2007-03-01,5.78,74.98,143181.29,13.05,2201.39
2007-04-01,6.26,74.94,145170.87,13.38,2144.6
2007-05-01,6.23,74.37,145170.87,13.86,2007.91
2007-06-01,6.03,73.88,145170.87,14.29,1923.76
2007-07-01,5.77,74.09,148142.37,14.97,1950.87
2007-08-01,5.22,74.97,148142.37,15.46,2058.28
2007-09-01,5.0,75.91,148142.37,15.75,2117.05
2007-10-01,5.16,75.83,149962.47,15.61,2003.26
2007-11-01,5.41,77.01,149962.47,15.49,2047.72
2007-12-01,5.69,77.92,149962.47,15.42,2014.2
2008-01-01,6.0,79.01,150565.22,15.27,1980.59
2008-02-01,6.35,79.92,150565.22,15.4,1903.27
2008-03-01,5.93,79.69,150565.22,15.78,1846.9
2008-04-01,5.73,80.0,151303.7,16.7,1796.13
2008-05-01,6.39,81.12,151303.7,16.41,1778.01
2008-06-01,7.18,82.26,151303.7,16.26,1712.28
2008-07-01,7.52,84.91,153275.8,16.26,1783.09
2008-08-01,7.87,84.8,153275.8,16.59,1844.29
2008-09-01,7.57,86.99,153275.8,16.55,2066.04
2008-10-01,7.94,88.36,150568.28,16.45,2289.17
2008-11-01,7.73,87.42,150568.28,17.27,2329.16
2008-12-01,7.67,84.5,150568.28,17.37,2252.72
2009-01-01,7.18,82.22,150948.41,16.86,2252.98
2009-02-01,6.47,85.18,150948.41,16.34,2513.74
2009-03-01,6.14,85.29,150948.41,15.38,2477.21
2009-04-01,5.73,86.81,152619.59,14.11,2379.36
2009-05-01,4.77,85.89,152619.59,12.66,2229.95
2009-06-01,3.81,85.57,152619.59,11.78,2090.04
2009-07-01,3.28,86.14,153929.38,11.35,2052.68
2009-08-01,3.13,85.46,153929.38,10.82,2018.97
2009-09-01,3.21,84.99,153929.38,10.86,1980.77
2009-10-01,2.72,84.12,155118.62,10.47,1904.86
2009-11-01,2.37,85.02,155118.62,9.75,1973.57
2009-12-01,2.0,86.34,155118.62,9.43,2017.05
2010-01-01,2.1,88.13,156710.82,9.32,1978.19
2010-02-01,2.09,88.05,156710.82,9.34,1952.89
2010-03-01,1.84,88.28,156710.82,9.24,1909.1
2010-04-01,1.98,88.94,159366.09,9.29,1940.36
2010-05-01,2.07,89.96,159366.09,8.83,1984.36
2010-06-01,2.25,88.74,159366.09,8.78,1925.9
2010-07-01,2.24,88.06,160351.58,8.84,1874.52
2010-08-01,2.31,87.63,160351.58,8.7,1819.06
2010-09-01,2.28,87.0,160351.58,8.61,1805.6
2010-10-01,2.33,87.01,163722.51,8.55,1808.46
2010-11-01,2.59,89.02,163722.51,8.3,1863.67
2010-12-01,3.17,91.31,163722.51,8.23,1925.86
2011-01-01,3.4,92.46,167189.4,9.49,1866.64
2011-02-01,3.17,93.94,167189.4,9.79,1882.61
2011-03-01,3.19,95.53,167189.4,10.26,1884.38
2011-04-01,2.84,96.22,169848.91,10.31,1812.77
2011-05-01,3.02,97.67,169848.91,10.66,1801.65
2011-06-01,3.23,96.34,169848.91,10.97,1782.54
2011-07-01,3.42,95.43,173174.61,10.94,1761.75
2011-08-01,3.27,95.74,173174.61,11.46,1785.04
2011-09-01,3.73,96.38,173174.61,11.54,1836.15
2011-10-01,4.02,98.18,174415.07,11.7,1910.38
2011-11-01,3.96,98.83,174415.07,11.55,1918.21
2011-12-01,3.73,99.21,174415.07,11.69,1934.08
2012-01-01,3.54,97.67,176300.25,12.4,1852.12
2012-02-01,3.55,97.81,176300.25,12.56,1783.56
2012-03-01,3.4,97.66,176300.25,12.8,1766.34
2012-04-01,3.43,98.1,178306.98,12.49,1775.06
2012-05-01,3.44,97.68,178306.98,12.63,1793.28
2012-06-01,3.2,95.12,178306.98,12.25,1792.63
2012-07-01,3.03,93.55,177313.36,12.16,1784.43
2012-08-01,3.11,94.89,177313.36,12.64,1806.34
2012-09-01,3.08,96.39,177313.36,12.06,1803.18
2012-10-01,3.06,96.26,179494.4,12.13,1804.97
2012-11-01,2.77,95.5,179494.4,11.76,1820.29
2012-12-01,2.44,94.39,179494.4,11.44,1793.94
2013-01-01,2.0,94.24,182542.2,11.81,1770.01
2013-02-01,1.83,94.77,182542.2,11.52,1791.48
2013-03-01,1.91,95.69,182542.2,11.11,1809.89
2013-04-01,2.02,95.02,186706.35,10.69,1829.96
2013-05-01,2.0,94.77,186706.35,10.33,1850.12
2013-06-01,2.16,95.5,186706.35,10.12,1909.5
2013-07-01,2.22,95.21,187959.88,10.93,1900.59
2013-08-01,2.27,95.48,187959.88,10.55,1903.66
2013-09-01,2.27,95.93,187959.88,10.94,1919.4
2013-10-01,1.84,94.73,190730.57,10.77,1885.91
2013-11-01,1.76,94.53,190730.57,10.74,1922.14
2013-12-01,1.94,94.32,190730.57,9.81,1934.08
